"","SettlementPoint","Year","Month","AveragePrice"
"1","HB_BUSAVG","2016","01",19.2093010752688
"2","HB_HOUSTON","2016","01",19.5657258064516
"3","HB_HUBAVG","2016","01",19.2586962365591
"4","HB_NORTH","2016","01",19.1333064516129
"5","HB_SOUTH","2016","01",19.2100537634409
"6","HB_WEST","2016","01",19.1265591397849
"7","LZ_AEN","2016","01",19.3246639784946
"8","LZ_CPS","2016","01",19.3538440860215
"9","LZ_HOUSTON","2016","01",19.563938172043
"10","LZ_LCRA","2016","01",19.3174596774194
"11","LZ_NORTH","2016","01",19.187997311828
"12","LZ_RAYBN","2016","01",19.4479435483871
"13","LZ_SOUTH","2016","01",19.4817204301075
"14","LZ_WEST","2016","01",19.5192607526882
"15","HB_BUSAVG","2017","01",23.2527822580645
"16","HB_HOUSTON","2017","01",24.7818548387097
"17","HB_HUBAVG","2017","01",23.3255510752688
"18","HB_NORTH","2017","01",22.9918548387097
"19","HB_SOUTH","2017","01",23.624811827957
"20","HB_WEST","2017","01",21.9017204301075
"21","LZ_AEN","2017","01",23.4044758064516
"22","LZ_CPS","2017","01",23.7725672043011
"23","LZ_HOUSTON","2017","01",24.8273655913979
"24","LZ_LCRA","2017","01",23.4362768817204
"25","LZ_NORTH","2017","01",23.6030241935484
"26","LZ_RAYBN","2017","01",23.3901075268817
"27","LZ_SOUTH","2017","01",25.1554838709677
"28","LZ_WEST","2017","01",23.2313709677419
"29","HB_BUSAVG","2018","01",37.8696774193548
"30","HB_HOUSTON","2018","01",37.9447849462366
"31","HB_HUBAVG","2018","01",37.7730376344086
"32","HB_NORTH","2018","01",37.5859005376344
"33","HB_SOUTH","2018","01",39.4981451612903
"34","HB_WEST","2018","01",36.0516397849462
"35","LZ_AEN","2018","01",38.8379838709677
"36","LZ_CPS","2018","01",41.312876344086
"37","LZ_HOUSTON","2018","01",38.0449865591398
"38","LZ_LCRA","2018","01",38.9925672043011
"39","LZ_NORTH","2018","01",37.7285215053763
"40","LZ_RAYBN","2018","01",39.3701478494624
"41","LZ_SOUTH","2018","01",46.1325672043011
"42","LZ_WEST","2018","01",37.2933064516129
"43","HB_BUSAVG","2019","01",24.5925672043011
"44","HB_HOUSTON","2019","01",25.4260349462366
"45","HB_HUBAVG","2019","01",24.6834005376344
"46","HB_NORTH","2019","01",24.3326344086021
"47","HB_SOUTH","2019","01",25.086061827957
"48","HB_WEST","2019","01",23.8815456989247
"49","LZ_AEN","2019","01",25.1079569892473
"50","LZ_CPS","2019","01",26.7983333333333
"51","LZ_HOUSTON","2019","01",25.5500806451613
"52","LZ_LCRA","2019","01",24.9363037634409
"53","LZ_NORTH","2019","01",24.3678360215054
"54","LZ_RAYBN","2019","01",24.4114919354839
"55","LZ_SOUTH","2019","01",27.0579032258065
"56","LZ_WEST","2019","01",27.4615322580645
"57","HB_BUSAVG","2016","02",15.2882471264368
"58","HB_HOUSTON","2016","02",15.4645402298851
"59","HB_HUBAVG","2016","02",15.2692528735632
"60","HB_NORTH","2016","02",15.292658045977
"61","HB_SOUTH","2016","02",15.333591954023
"62","HB_WEST","2016","02",14.9886637931034
"63","LZ_AEN","2016","02",15.4482902298851
"64","LZ_CPS","2016","02",15.5200143678161
"65","LZ_HOUSTON","2016","02",15.4879885057471
"66","LZ_LCRA","2016","02",15.4885488505747
"67","LZ_NORTH","2016","02",15.4622126436782
"68","LZ_RAYBN","2016","02",15.4004310344828
